Timestamp,AvailabilityZone,InstanceType,ProductDescription,SpotPrice,Timestamp
2018-08-28 17:45:41+00:00,us-west-2b,c3.xlarge,Linux/UNIX,0.0589,2018-08-28 17:45:41+00:00
2018-08-28 17:45:40+00:00,us-west-2c,c3.xlarge,Windows,0.2244,2018-08-28 17:45:40+00:00
2018-08-28 17:45:40+00:00,us-west-2a,c3.xlarge,Windows,0.2244,2018-08-28 17:45:40+00:00
2018-08-28 17:45:40+00:00,us-west-2b,c3.xlarge,Windows,0.2244,2018-08-28 17:45:40+00:00
2018-08-28 12:54:18+00:00,us-west-2a,c3.xlarge,SUSE Linux,0.1593,2018-08-28 12:54:18+00:00
2018-08-28 12:54:18+00:00,us-west-2a,c3.xlarge,Linux/UNIX,0.0593,2018-08-28 12:54:18+00:00
2018-08-28 01:24:13+00:00,us-west-2c,c3.xlarge,SUSE Linux,0.1587,2018-08-28 01:24:13+00:00
2018-08-28 01:24:13+00:00,us-west-2c,c3.xlarge,Linux/UNIX,0.0587,2018-08-28 01:24:13+00:00
2018-08-28 00:03:59+00:00,us-west-2b,c3.xlarge,Windows,0.2244,2018-08-28 00:03:59+00:00
2018-08-27 23:04:58+00:00,us-west-2c,c3.xlarge,Windows,0.2244,2018-08-27 23:04:58+00:00
2018-08-27 20:41:31+00:00,us-west-2a,c3.xlarge,Windows,0.2244,2018-08-27 20:41:31+00:00
2018-08-27 17:50:48+00:00,us-west-2b,c3.xlarge,SUSE Linux,0.1589,2018-08-27 17:50:48+00:00
2018-08-27 17:50:48+00:00,us-west-2b,c3.xlarge,Linux/UNIX,0.0589,2018-08-27 17:50:48+00:00
2018-08-27 12:54:11+00:00,us-west-2a,c3.xlarge,SUSE Linux,0.1593,2018-08-27 12:54:11+00:00
2018-08-27 12:54:11+00:00,us-west-2a,c3.xlarge,Linux/UNIX,0.0593,2018-08-27 12:54:11+00:00
2018-08-27 01:23:52+00:00,us-west-2c,c3.xlarge,SUSE Linux,0.1587,2018-08-27 01:23:52+00:00
2018-08-27 01:23:52+00:00,us-west-2c,c3.xlarge,Linux/UNIX,0.0587,2018-08-27 01:23:52+00:00
2018-08-27 00:03:11+00:00,us-west-2b,c3.xlarge,Windows,0.2244,2018-08-27 00:03:11+00:00
2018-08-26 23:04:10+00:00,us-west-2c,c3.xlarge,Windows,0.2244,2018-08-26 23:04:10+00:00
2018-08-26 21:29:32+00:00,us-west-2b,c3.xlarge,SUSE Linux,0.1588,2018-08-26 21:29:32+00:00
2018-08-26 21:29:32+00:00,us-west-2b,c3.xlarge,Linux/UNIX,0.0588,2018-08-26 21:29:32+00:00
2018-08-26 20:41:09+00:00,us-west-2a,c3.xlarge,Windows,0.2244,2018-08-26 20:41:09+00:00
2018-08-26 13:47:10+00:00,us-west-2a,c3.xlarge,SUSE Linux,0.1594,2018-08-26 13:47:10+00:00
2018-08-26 13:47:10+00:00,us-west-2a,c3.xlarge,Linux/UNIX,0.0594,2018-08-26 13:47:10+00:00
2018-08-26 01:23:52+00:00,us-west-2c,c3.xlarge,SUSE Linux,0.1587,2018-08-26 01:23:52+00:00
2018-08-26 01:23:52+00:00,us-west-2c,c3.xlarge,Linux/UNIX,0.0587,2018-08-26 01:23:52+00:00
2018-08-26 00:02:43+00:00,us-west-2b,c3.xlarge,Windows,0.2244,2018-08-26 00:02:43+00:00
2018-08-25 23:03:42+00:00,us-west-2c,c3.xlarge,Windows,0.2244,2018-08-25 23:03:42+00:00
2018-08-25 21:29:25+00:00,us-west-2b,c3.xlarge,SUSE Linux,0.1588,2018-08-25 21:29:25+00:00
