Timestamp,AvailabilityZone,InstanceType,SpotPrice,Timestamp
2018-08-31 08:47:37+00:00,us-west-2c,c3.2xlarge,0.2168,2018-08-31 08:47:37+00:00
2018-08-31 08:47:37+00:00,us-west-2a,c3.2xlarge,0.2168,2018-08-31 08:47:37+00:00
2018-08-31 08:47:37+00:00,us-west-2b,c3.2xlarge,0.2168,2018-08-31 08:47:37+00:00
2018-08-31 08:47:37+00:00,us-west-2c,c3.2xlarge,0.1168,2018-08-31 08:47:37+00:00
2018-08-31 08:47:37+00:00,us-west-2a,c3.2xlarge,0.1168,2018-08-31 08:47:37+00:00
2018-08-31 08:47:37+00:00,us-west-2b,c3.2xlarge,0.1168,2018-08-31 08:47:37+00:00
2018-09-02 23:12:15+00:00,us-west-2a,c3.4xlarge,0.3387,2018-09-02 23:12:15+00:00
2018-09-02 23:12:15+00:00,us-west-2a,c3.4xlarge,0.2387,2018-09-02 23:12:15+00:00
2018-09-02 16:05:54+00:00,us-west-2a,c3.4xlarge,0.3389,2018-09-02 16:05:54+00:00
2018-09-02 16:05:54+00:00,us-west-2a,c3.4xlarge,0.2389,2018-09-02 16:05:54+00:00
2018-09-02 14:01:30+00:00,us-west-2b,c3.4xlarge,0.3373,2018-09-02 14:01:30+00:00
2018-09-02 14:01:30+00:00,us-west-2b,c3.4xlarge,0.2373,2018-09-02 14:01:30+00:00
2018-09-02 12:12:07+00:00,us-west-2c,c3.4xlarge,0.3401,2018-09-02 12:12:07+00:00
2018-09-02 12:12:07+00:00,us-west-2c,c3.4xlarge,0.2401,2018-09-02 12:12:07+00:00
2018-09-02 10:49:10+00:00,us-west-2a,c3.4xlarge,0.339,2018-09-02 10:49:10+00:00
2018-09-02 10:49:10+00:00,us-west-2a,c3.4xlarge,0.239,2018-09-02 10:49:10+00:00
2018-09-02 06:08:51+00:00,us-west-2c,c3.4xlarge,0.8976,2018-09-02 06:08:51+00:00
2018-09-02 06:08:51+00:00,us-west-2a,c3.4xlarge,0.8976,2018-09-02 06:08:51+00:00
2018-09-02 06:08:51+00:00,us-west-2b,c3.4xlarge,0.8976,2018-09-02 06:08:51+00:00
2018-09-02 05:22:47+00:00,us-west-2a,c3.4xlarge,0.3391,2018-09-02 05:22:47+00:00
2018-09-02 05:22:47+00:00,us-west-2a,c3.4xlarge,0.2391,2018-09-02 05:22:47+00:00
2018-09-02 01:20:47+00:00,us-west-2c,c3.4xlarge,0.3403,2018-09-02 01:20:47+00:00
2018-09-02 01:20:47+00:00,us-west-2c,c3.4xlarge,0.2403,2018-09-02 01:20:47+00:00
2018-09-01 20:19:19+00:00,us-west-2c,c3.4xlarge,0.3405,2018-09-01 20:19:19+00:00
2018-09-01 20:19:19+00:00,us-west-2c,c3.4xlarge,0.2405,2018-09-01 20:19:19+00:00
2018-09-01 17:49:09+00:00,us-west-2a,c3.4xlarge,0.3392,2018-09-01 17:49:09+00:00
2018-09-01 17:49:09+00:00,us-west-2a,c3.4xlarge,0.2392,2018-09-01 17:49:09+00:00
2018-09-01 16:42:09+00:00,us-west-2b,c3.4xlarge,0.3374,2018-09-01 16:42:09+00:00
2018-09-01 16:42:09+00:00,us-west-2b,c3.4xlarge,0.2374,2018-09-01 16:42:09+00:00
2018-09-01 12:56:57+00:00,us-west-2c,c3.4xlarge,0.3406,2018-09-01 12:56:57+00:00
2018-09-01 12:56:57+00:00,us-west-2c,c3.4xlarge,0.2406,2018-09-01 12:56:57+00:00
2018-09-01 11:57:55+00:00,us-west-2b,c3.4xlarge,0.3375,2018-09-01 11:57:55+00:00
2018-09-01 11:57:55+00:00,us-west-2b,c3.4xlarge,0.2375,2018-09-01 11:57:55+00:00
2018-09-01 10:17:57+00:00,us-west-2a,c3.4xlarge,0.3393,2018-09-01 10:17:57+00:00
2018-09-01 10:17:57+00:00,us-west-2a,c3.4xlarge,0.2393,2018-09-01 10:17:57+00:00
2018-09-01 06:08:13+00:00,us-west-2c,c3.4xlarge,0.3413,2018-09-01 06:08:13+00:00
2018-09-01 06:08:13+00:00,us-west-2a,c3.4xlarge,0.3394,2018-09-01 06:08:13+00:00
2018-09-01 06:08:13+00:00,us-west-2b,c3.4xlarge,0.3376,2018-09-01 06:08:13+00:00
2018-09-01 06:08:13+00:00,us-west-2c,c3.4xlarge,0.2413,2018-09-01 06:08:13+00:00
2018-09-01 06:08:13+00:00,us-west-2a,c3.4xlarge,0.2394,2018-09-01 06:08:13+00:00
2018-09-01 06:08:13+00:00,us-west-2b,c3.4xlarge,0.2376,2018-09-01 06:08:13+00:00
2018-09-01 06:08:13+00:00,us-west-2c,c3.4xlarge,0.8976,2018-09-01 06:08:13+00:00
2018-09-01 06:08:13+00:00,us-west-2a,c3.4xlarge,0.8976,2018-09-01 06:08:13+00:00
2018-09-01 06:08:13+00:00,us-west-2b,c3.4xlarge,0.8976,2018-09-01 06:08:13+00:00
2018-09-01 05:58:35+00:00,us-west-2c,c3.4xlarge,0.3413,2018-09-01 05:58:35+00:00
2018-09-01 05:58:35+00:00,us-west-2c,c3.4xlarge,0.2413,2018-09-01 05:58:35+00:00
2018-09-01 00:33:08+00:00,us-west-2c,c3.4xlarge,0.3414,2018-09-01 00:33:08+00:00
2018-09-01 00:33:08+00:00,us-west-2c,c3.4xlarge,0.2414,2018-09-01 00:33:08+00:00
2018-08-31 23:17:45+00:00,us-west-2b,c3.4xlarge,0.3376,2018-08-31 23:17:45+00:00
2018-08-31 23:17:45+00:00,us-west-2b,c3.4xlarge,0.2376,2018-08-31 23:17:45+00:00
2018-08-31 20:47:08+00:00,us-west-2a,c3.4xlarge,0.3394,2018-08-31 20:47:08+00:00
2018-08-31 20:47:08+00:00,us-west-2a,c3.4xlarge,0.2394,2018-08-31 20:47:08+00:00
2018-08-31 17:43:14+00:00,us-west-2c,c3.4xlarge,0.3412,2018-08-31 17:43:14+00:00
2018-08-31 17:43:14+00:00,us-west-2c,c3.4xlarge,0.2412,2018-08-31 17:43:14+00:00
2018-08-31 15:48:27+00:00,us-west-2c,c3.4xlarge,0.8976,2018-08-31 15:48:27+00:00
2018-08-31 15:48:27+00:00,us-west-2a,c3.4xlarge,0.8976,2018-08-31 15:48:27+00:00
2018-08-31 15:48:27+00:00,us-west-2b,c3.4xlarge,0.8976,2018-08-31 15:48:27+00:00
2018-09-02 22:07:34+00:00,us-west-2c,c3.8xlarge,1.7952,2018-09-02 22:07:34+00:00
2018-09-02 22:07:34+00:00,us-west-2a,c3.8xlarge,1.7952,2018-09-02 22:07:34+00:00
2018-09-02 22:07:34+00:00,us-west-2b,c3.8xlarge,1.7952,2018-09-02 22:07:34+00:00
2018-09-02 19:51:50+00:00,us-west-2a,c3.8xlarge,0.5732,2018-09-02 19:51:50+00:00
2018-09-02 19:51:50+00:00,us-west-2a,c3.8xlarge,0.4732,2018-09-02 19:51:50+00:00
2018-09-02 18:02:54+00:00,us-west-2b,c3.8xlarge,0.5776,2018-09-02 18:02:54+00:00
2018-09-02 18:02:54+00:00,us-west-2b,c3.8xlarge,0.4776,2018-09-02 18:02:54+00:00
2018-09-02 17:46:22+00:00,us-west-2c,c3.8xlarge,0.612,2018-09-02 17:46:22+00:00
2018-09-02 17:46:22+00:00,us-west-2c,c3.8xlarge,0.512,2018-09-02 17:46:22+00:00
2018-09-02 14:42:33+00:00,us-west-2a,c3.8xlarge,0.5734,2018-09-02 14:42:33+00:00
2018-09-02 14:42:33+00:00,us-west-2a,c3.8xlarge,0.4734,2018-09-02 14:42:33+00:00
2018-09-02 11:30:14+00:00,us-west-2b,c3.8xlarge,0.5779,2018-09-02 11:30:14+00:00
2018-09-02 11:30:14+00:00,us-west-2b,c3.8xlarge,0.4779,2018-09-02 11:30:14+00:00
2018-09-02 10:56:57+00:00,us-west-2c,c3.8xlarge,0.6156,2018-09-02 10:56:57+00:00
2018-09-02 10:56:57+00:00,us-west-2c,c3.8xlarge,0.5156,2018-09-02 10:56:57+00:00
2018-09-02 10:06:37+00:00,us-west-2a,c3.8xlarge,0.5736,2018-09-02 10:06:37+00:00
2018-09-02 10:06:37+00:00,us-west-2a,c3.8xlarge,0.4736,2018-09-02 10:06:37+00:00
2018-09-02 05:22:34+00:00,us-west-2b,c3.8xlarge,0.5783,2018-09-02 05:22:34+00:00
2018-09-02 05:22:34+00:00,us-west-2b,c3.8xlarge,0.4783,2018-09-02 05:22:34+00:00
2018-09-02 03:59:29+00:00,us-west-2c,c3.8xlarge,0.6182,2018-09-02 03:59:29+00:00
2018-09-02 03:59:29+00:00,us-west-2c,c3.8xlarge,0.5182,2018-09-02 03:59:29+00:00
2018-09-01 22:42:04+00:00,us-west-2b,c3.8xlarge,0.5782,2018-09-01 22:42:04+00:00
2018-09-01 22:42:04+00:00,us-west-2b,c3.8xlarge,0.4782,2018-09-01 22:42:04+00:00
2018-09-01 22:07:14+00:00,us-west-2c,c3.8xlarge,1.7952,2018-09-01 22:07:14+00:00
2018-09-01 22:07:14+00:00,us-west-2a,c3.8xlarge,1.7952,2018-09-01 22:07:14+00:00
2018-09-01 22:07:14+00:00,us-west-2b,c3.8xlarge,1.7952,2018-09-01 22:07:14+00:00
2018-09-01 21:26:12+00:00,us-west-2c,c3.8xlarge,0.6209,2018-09-01 21:26:12+00:00
2018-09-01 21:26:12+00:00,us-west-2c,c3.8xlarge,0.5209,2018-09-01 21:26:12+00:00
2018-09-01 15:18:27+00:00,us-west-2c,c3.8xlarge,0.6237,2018-09-01 15:18:27+00:00
2018-09-01 15:18:27+00:00,us-west-2c,c3.8xlarge,0.5237,2018-09-01 15:18:27+00:00
2018-09-01 15:10:24+00:00,us-west-2b,c3.8xlarge,0.5783,2018-09-01 15:10:24+00:00
2018-09-01 15:10:24+00:00,us-west-2b,c3.8xlarge,0.4783,2018-09-01 15:10:24+00:00
2018-09-01 10:35:15+00:00,us-west-2a,c3.8xlarge,0.5738,2018-09-01 10:35:15+00:00
2018-09-01 10:35:15+00:00,us-west-2a,c3.8xlarge,0.4738,2018-09-01 10:35:15+00:00
2018-09-01 08:04:49+00:00,us-west-2c,c3.8xlarge,0.6262,2018-09-01 08:04:49+00:00
2018-09-01 08:04:49+00:00,us-west-2c,c3.8xlarge,0.5262,2018-09-01 08:04:49+00:00
2018-09-01 03:44:55+00:00,us-west-2b,c3.8xlarge,0.5784,2018-09-01 03:44:55+00:00
2018-09-01 03:44:55+00:00,us-west-2b,c3.8xlarge,0.4784,2018-09-01 03:44:55+00:00
2018-09-01 02:13:06+00:00,us-west-2c,c3.8xlarge,0.6286,2018-09-01 02:13:06+00:00
2018-09-01 02:13:06+00:00,us-west-2c,c3.8xlarge,0.5286,2018-09-01 02:13:06+00:00
2018-08-31 23:34:48+00:00,us-west-2a,c3.8xlarge,0.5737,2018-08-31 23:34:48+00:00
2018-08-31 23:34:48+00:00,us-west-2a,c3.8xlarge,0.4737,2018-08-31 23:34:48+00:00
2018-08-31 22:06:54+00:00,us-west-2c,c3.8xlarge,1.7952,2018-08-31 22:06:54+00:00
2018-08-31 22:06:54+00:00,us-west-2a,c3.8xlarge,1.7952,2018-08-31 22:06:54+00:00
2018-08-31 22:06:54+00:00,us-west-2b,c3.8xlarge,1.7952,2018-08-31 22:06:54+00:00
2018-08-31 21:46:29+00:00,us-west-2b,c3.8xlarge,0.5786,2018-08-31 21:46:29+00:00
2018-08-31 21:46:29+00:00,us-west-2b,c3.8xlarge,0.4786,2018-08-31 21:46:29+00:00
2018-08-31 20:39:04+00:00,us-west-2c,c3.8xlarge,0.6316,2018-08-31 20:39:04+00:00
2018-08-31 20:39:04+00:00,us-west-2c,c3.8xlarge,0.5316,2018-08-31 20:39:04+00:00
